-== Watchman Report ==- 

-== Missing 1 service(s) from 50 found in your config:
+--------------------------------+---------+--------------------------------------------------------------+
| Service ID                     | State   | Location                                                     |
| ('Qingping Air Monitor Lite    |         |                                                              |
| Settings screen off')          |         |                                                              |
| media_player.yandex_station_94 | missing | .storage/lovelace:748                                        |
| 007890870c640d0acf             |         |                                                              |
| media_player.yandex_station_m0 | missing | .storage/lovelace:798                                        |
| 0t8c500rkshb                   |         |                                                              |
| button.scan_clients_nas ('Scan | unavail | .storage/lovelace:803                                        |
| Clients (nas)')                |         |                                                              |
| sensor.plex_nas ('Plex (nas)') | unavail | .storage/lovelace:810                                        |
| sensor.nas_library_video_dlia_ | unavail | .storage/lovelace:812                                        |
| testov ('nas Library - Видео   |         |                                                              |
| для тестов')                   |         |                                                              |
| sensor.nas_library_skachannoe  | unavail | .storage/lovelace:816                                        |
| ('nas Library - Скачанное')    |         |                                                              |
| sensor.epson_l6170_series      | unavail | .storage/lovelace:995                                        |
| ('EPSON L6170 Series')         |         |                                                              |
+--------------------------------+---------+--------------------------------------------------------------+

-== Report created on 19 Jul 2022 23:18:26
-== Parsed 114 files in 0.93s., ignored 0 files 
-== Generated in: 0.06s. Validated in: 0.00s.
